restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Garlic Fish,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,6
DINDIGUL VELU BRIYANI,Ginger Fish,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,7
DINDIGUL VELU BRIYANI,Dragon Fish,,230,,,11.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,8
DINDIGUL VELU BRIYANI,Schezwan Fish,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,9
DINDIGUL VELU BRIYANI,Fish Gravy,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,10
DINDIGUL VELU BRIYANI,Prawns 65,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,11
DINDIGUL VELU BRIYANI,Prawns Pepper Fry,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,12
DINDIGUL VELU BRIYANI,Prawns Manchurian,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,13
DINDIGUL VELU BRIYANI,Chilli Prawns,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,14
DINDIGUL VELU BRIYANI,Garlic Prawns,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,15
DINDIGUL VELU BRIYANI,Ginger Prawns,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,16
DINDIGUL VELU BRIYANI,Prawn Masala,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,17
DINDIGUL VELU BRIYANI,Nandu Soup,,150,,,7.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,18
